2022-09-08 05:22:05,pingineer_jp,domain,avscacieeaecseacercevoi.viiasucarnsvscrroreaio.gnvikzo.bar,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745064402833408
2022-09-08 05:22:10,pingineer_jp,domain,avscccieeveesaccarsevoi.viiasuvavnsascrrsreaio.lpmefip.bar,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745086729113600
2022-09-08 05:22:15,pingineer_jp,domain,avscacaeoseaseacerceroi.visacucarnsvserrooeiraio.zbtesp.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745109235761152
2022-09-08 05:22:21,pingineer_jp,domain,nbcveryreduert.top,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745132405080064
2022-09-08 05:22:26,pingineer_jp,domain,avscacaeoseaseacsrceroi.visacucarnsvserroreiraio.rybtstu.bar,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745154832007171
2022-09-08 05:22:32,pingineer_jp,domain,avicccveeaeesaacvrereoi.viiavucrvnsascrroieaeio.tdv3bmb.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745177330282496
2022-09-08 05:22:37,pingineer_jp,domain,avscacaeiseaseccsrcoroi.visavucarnsvserrrieaio.zbtesp.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745199664939008
2022-09-08 05:22:42,pingineer_jp,domain,avicacveeseasevcsrcreoi.viiavuerrnsvscrrsieeaio.xw5wonm.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745221995413505
2022-09-08 05:22:48,pingineer_jp,domain,avscacieosecseacsrcevoi.viiacuvarnsvscrroserraio.mjgkwb.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745244321689600
2022-09-08 05:22:53,pingineer_jp,domain,aem.kaiseihoikuen-recruit.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745266165628929
2022-09-08 05:22:58,pingineer_jp,domain,miziho-basnk.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745288332525569
2022-09-08 05:23:03,pingineer_jp,ip,96.62.102.144,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745310570741770
2022-09-08 05:23:03,pingineer_jp,domain,eki-net.com.steway.shop,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745310570741770
2022-09-08 05:23:09,pingineer_jp,domain,weukl-kenzt.icu,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745332897001472
2022-09-08 05:23:14,pingineer_jp,domain,eakl-wserz.icu,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745355122638848
2022-09-08 05:23:19,pingineer_jp,domain,metamaskc.cc,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745376945582082
2022-09-08 05:23:19,pingineer_jp,ip,103.45.64.107,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745376945582082
2022-09-08 05:28:13,Vanessa59367032,url,https://neearwallet.weebly.com/near,#phishing #scam,https://twitter.com/Vanessa59367032/status/1567746608590213120
2022-09-08 05:33:48,ecarlesi,url,https://aselolenahmorn.org/xn--28j2at2a7j0fna1g1k4lzd4295cwkxapv9aez3g/,#phishing,https://twitter.com/ecarlesi/status/1567748014743199744
2022-09-08 05:45:10,ecarlesi,url,http://mlgass.click/cgi-bin.zip,#phishing,https://twitter.com/ecarlesi/status/1567750875170439170
2022-09-08 06:00:49,AP_Zenmashi,url,https://eki-net.com.steway.shop,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1567754812942581760
2022-09-08 06:01:20,AP_Zenmashi,url,https://www.eki-net.com.ilbird.shop,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1567754944715046912
2022-09-08 06:01:52,AP_Zenmashi,url,https://www.eki-net.com.bester.ltd,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1567755075711569920
2022-09-08 06:02:06,ecarlesi,url,https://wttcinc.com/vendor/jaybizzle/crawler-detect/raw/crawlers.txt,#phishing,https://twitter.com/ecarlesi/status/1567755135819841537
2022-09-08 06:02:31,AP_Zenmashi,url,https://www.eki-net.com.steway.shop,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1567755242309296128
2022-09-08 06:03:02,AP_Zenmashi,url,https://www.eki-net.com.metalabs.life,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1567755370172657671
2022-09-08 06:03:46,AP_Zenmashi,url,https://www.eki-net.com.scenic.ltd,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1567755555451838464
2022-09-08 06:04:25,AP_Zenmashi,url,https://ilbird.shop,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1567755719738540034
2022-09-08 06:04:59,AP_Zenmashi,url,https://www.eukl-cerat.icu,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1567755859324981248
2022-09-08 06:06:15,AP_Zenmashi,url,https://www.eckl-oensut.top,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1567756181795647488
