2022-09-15 05:46:13,dubstard,url,https://ultraminingcrypto.com,#scam,https://twitter.com/dubstard/status/1570287852474466306
2022-09-15 05:46:13,dubstard,url,https://westtrademiners.com,#scam,https://twitter.com/dubstard/status/1570287852474466306
2022-09-15 05:46:13,dubstard,url,https://universalcybermining.cloud,#scam,https://twitter.com/dubstard/status/1570287852474466306
2022-09-15 05:46:13,dubstard,url,https://xcryt.com,#scam,https://twitter.com/dubstard/status/1570287852474466306
2022-09-15 06:01:04,AP_Zenmashi,ip,155.94.170.20,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1570291590572421121
2022-09-15 06:01:04,AP_Zenmashi,url,https://fortunate.waiguohuo.com.cn,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1570291590572421121
2022-09-15 06:03:03,romonlyht,ip,65.108.16.41,#phishing,https://twitter.com/romonlyht/status/1570292090537676801
2022-09-15 06:03:03,romonlyht,url,https://epos-cerd-co-jp.040.live/,#phishing,https://twitter.com/romonlyht/status/1570292090537676801
2022-09-15 06:21:49,ecarlesi,url,https://smalaka.shop,#phishing,https://twitter.com/ecarlesi/status/1570296812455755784
2022-09-15 06:31:28,ecarlesi,url,https://folakde.shop,#phishing,https://twitter.com/ecarlesi/status/1570299241376931840
2022-09-15 06:36:18,ecarlesi,url,http://ofwxf.shop,#phishing,https://twitter.com/ecarlesi/status/1570300455452020737
2022-09-15 06:39:32,CsirtPost,url,https://newscloudxx.s3.ca-central-1.amazonaws.com/zaz.html,#phishing,https://twitter.com/CsirtPost/status/1570301272900907008
2022-09-15 06:42:05,CatcherPhishing,url,https://qnb.sponsorwrx.com/site/guestlogin,#phishing,https://twitter.com/CatcherPhishing/status/1570301913488302082
2022-09-15 06:42:05,CatcherPhishing,domain,qnb.com,#phishing,https://twitter.com/CatcherPhishing/status/1570301913488302082
2022-09-15 06:43:28,PhishStats,ip,45.141.152.18,#phishing,https://twitter.com/PhishStats/status/1570302260269420544
2022-09-15 06:43:28,PhishStats,url,http://parcelservidelivery0-client.com/,#phishing,https://twitter.com/PhishStats/status/1570302260269420544
2022-09-15 06:52:18,ecarlesi,url,https://uasd.live,#phishing,https://twitter.com/ecarlesi/status/1570304485330673665
2022-09-15 06:55:05,ecarlesi,url,http://binsa.store,#phishing,https://twitter.com/ecarlesi/status/1570305183120494597
2022-09-15 07:05:47,ecarlesi,url,https://besd.fun,#phishing,https://twitter.com/ecarlesi/status/1570307876174073857
2022-09-15 07:19:35,ecarlesi,url,https://naimaimc.mom/,#phishing,https://twitter.com/ecarlesi/status/1570311349204406273
2022-09-15 07:25:29,ecarlesi,url,http://jingxingllc.com/,#phishing,https://twitter.com/ecarlesi/status/1570312832838955013
